phase,pressure_GPa,natoms,E_total_eV,E_per_fu_eV,V_total_A3,V_per_fu_A3,H_total_eV,H_per_fu_eV,status
I-43d,0,28,-160.926969,-40.231742,280.550000,70.137500,-160.926969,-40.231742,converged
I-43d,10,28,-160.385573,-40.096393,261.620000,65.405000,-144.056761,-36.014190,converged
I-43d,20,28,-159.268979,-39.817245,249.660000,62.415000,-128.104470,-32.026118,converged
I-43d,30,28,-157.794253,-39.448563,240.200000,60.050000,-112.817980,-28.204495,converged
I-43d,40,28,-156.068176,-39.017044,232.300000,58.075000,-98.070985,-24.517746,converged
I-43d,50,28,-154.155851,-38.538963,225.480000,56.370000,-83.788121,-20.947030,converged
I-43d,60,28,-152.114752,-38.028688,219.530000,54.882500,-69.902983,-17.475746,converged
I-43d,70,28,-149.953449,-37.488362,214.210000,53.552500,-56.362086,-14.090521,converged
I-43d,80,28,-147.702441,-36.925610,209.420000,52.355000,-43.136903,-10.784226,converged
I-43d,90,28,-145.379449,-36.344862,205.050000,51.262500,-30.197703,-7.549426,converged
I-43d,100,28,-142.998037,-35.749509,201.040000,50.260000,-17.520206,-4.380052,converged
Pbam,0,14,-84.451317,-42.225659,146.710000,73.355000,-84.451317,-42.225659,converged
Pbam,10,14,-84.223449,-42.111725,139.160000,69.580000,-75.537699,-37.768849,converged
Pbam,20,14,-83.673952,-41.836976,133.250000,66.625000,-67.039789,-33.519895,converged
Pbam,30,14,-82.911464,-41.455732,128.360000,64.180000,-58.877334,-29.438667,converged
Pbam,40,14,-81.994046,-40.997023,124.160000,62.080000,-50.996698,-25.498349,converged
Pbam,50,14,-80.978247,-40.489123,120.530000,60.265000,-43.362605,-21.681303,converged
Pbam,60,14,-79.873429,-39.936714,117.310000,58.655000,-35.941978,-17.970989,converged
Pbam,70,14,-78.712643,-39.356322,114.450000,57.225000,-28.707159,-14.353580,converged
Pbam,80,14,-77.478636,-38.739318,111.830000,55.915000,-21.640455,-10.820227,converged
Pbam,90,14,-76.223479,-38.111739,109.470000,54.735000,-14.732024,-7.366012,converged
Pbam,100,14,-74.919821,-37.459911,107.270000,53.635000,-7.965884,-3.982942,converged
Pnma,0,28,-166.384318,-41.596080,286.070000,71.517500,-166.384318,-41.596080,converged
Pnma,10,28,-165.916191,-41.479048,270.570000,67.642500,-149.028857,-37.257214,converged
Pnma,20,28,-164.802670,-41.200668,258.610000,64.652500,-132.519986,-33.129997,converged
Pnma,30,28,-163.280562,-40.820141,248.850000,62.212500,-116.685381,-29.171345,converged
Pnma,40,28,-161.487075,-40.371769,240.640000,60.160000,-101.409572,-25.352393,converged
Pnma,50,28,-159.503812,-39.875953,233.550000,58.387500,-86.617550,-21.654388,converged
Pnma,60,28,-157.349191,-39.337298,227.260000,56.815000,-72.242025,-18.060506,converged
Pnma,70,28,-155.084446,-38.771112,221.690000,55.422500,-58.227274,-14.556819,converged
Pnma,80,28,-152.716871,-38.179218,216.640000,54.160000,-44.543262,-11.135816,converged
Pnma,90,28,-150.269398,-37.567350,212.040000,53.010000,-31.159357,-7.789839,converged
Pnma,100,28,-147.775307,-36.943827,207.840000,51.960000,-18.049637,-4.512409,converged
Pnma-III,0,28,-169.439615,-42.359904,297.520000,74.380000,-169.439615,-42.359904,converged
Pnma-III,10,28,-168.954895,-42.238724,281.470000,70.367500,-151.387073,-37.846768,converged
Pnma-III,20,28,-167.786116,-41.946529,268.910000,67.227500,-134.217525,-33.554381,converged
Pnma-III,30,28,-166.187688,-41.546922,258.660000,64.665000,-117.754524,-29.438631,converged
Pnma-III,40,28,-164.289786,-41.072447,249.980000,62.495000,-101.880615,-25.470154,converged
Pnma-III,50,28,-162.161314,-40.540328,242.380000,60.595000,-86.519101,-21.629775,converged
Pnma-III,60,28,-159.899094,-39.974773,235.790000,58.947500,-71.599429,-17.899857,converged
Pnma-III,70,28,-157.489806,-39.372452,229.860000,57.465000,-57.062826,-14.265707,converged
Pnma-III,80,28,-154.981311,-38.745328,224.510000,56.127500,-42.877890,-10.719473,converged
Pnma-III,90,28,-152.395112,-38.098778,219.650000,54.912500,-29.011682,-7.252921,converged
Pnma-III,100,28,-149.745079,-37.436270,215.190000,53.797500,-15.436732,-3.859183,converged
Pnma-VII,0,28,-173.414080,-43.353520,324.950000,81.237500,-173.414080,-43.353520,converged
Pnma-VII,10,28,-172.874730,-43.218683,307.140000,76.785000,-153.704723,-38.426181,converged
Pnma-VII,20,28,-171.572213,-42.893053,293.150000,73.287500,-134.978817,-33.744704,converged
Pnma-VII,30,28,-169.780714,-42.445179,281.640000,70.410000,-117.044114,-29.261028,converged
Pnma-VII,40,28,-167.649523,-41.912381,271.890000,67.972500,-99.770033,-24.942508,converged
Pnma-VII,50,28,-165.264296,-41.316074,263.380000,65.845000,-83.070539,-20.767635,converged
Pnma-VII,60,28,-162.718161,-40.679540,255.950000,63.987500,-66.866994,-16.716749,converged
Pnma-VII,70,28,-160.014059,-40.003515,249.300000,62.325000,-51.093698,-12.773425,converged
Pnma-VII,80,28,-157.205384,-39.301346,243.310000,60.827500,-35.714848,-8.928712,converged
Pnma-VII,90,28,-154.309306,-38.577326,237.860000,59.465000,-20.693235,-5.173309,converged
Pnma-VII,100,28,-151.340295,-37.835074,232.860000,58.215000,-5.997967,-1.499492,converged
R-3m,0,21,-129.988300,-43.329433,244.600000,81.533333,-129.988300,-43.329433,converged
R-3m,10,21,-129.583703,-43.194568,231.220000,77.073333,-115.151807,-38.383936,converged
R-3m,20,21,-128.606452,-42.868817,220.730000,73.576667,-101.053038,-33.684346,converged
R-3m,30,21,-127.261078,-42.420359,212.090000,70.696667,-87.548130,-29.182710,converged
R-3m,40,21,-125.660396,-41.886799,204.760000,68.253333,-74.539393,-24.846464,converged
R-3m,50,21,-123.879326,-41.293109,198.410000,66.136667,-61.962005,-20.654002,converged
R-3m,60,21,-121.962243,-40.654081,192.810000,64.270000,-49.756834,-16.585611,converged
R-3m,70,21,-119.935213,-39.978404,187.820000,62.606667,-37.874657,-12.624886,converged
R-3m,80,21,-117.826526,-39.275509,183.330000,61.110000,-26.288323,-8.762774,converged
R-3m,90,21,-115.653015,-38.551005,179.240000,59.746667,-14.969854,-4.989951,converged
R-3m,100,21,-113.429690,-37.809897,175.490000,58.496667,-3.896001,-1.298667,converged
anti-CaFe2O4,0,28,-166.009318,-41.502329,288.020000,72.005000,-166.009318,-41.502329,converged
anti-CaFe2O4,10,28,-165.549375,-41.387344,272.850000,68.212500,-148.519707,-37.129927,converged
anti-CaFe2O4,20,28,-164.431960,-41.107990,260.850000,65.212500,-131.869995,-32.967499,converged
anti-CaFe2O4,30,28,-162.887698,-40.721925,250.940000,62.735000,-115.900330,-28.975082,converged
anti-CaFe2O4,40,28,-161.038154,-40.259539,242.470000,60.617500,-100.502581,-25.125645,converged
anti-CaFe2O4,50,28,-158.984225,-39.746056,235.140000,58.785000,-85.603477,-21.400869,converged
anti-CaFe2O4,60,28,-156.767772,-39.191943,228.670000,57.167500,-71.133949,-17.783487,converged
anti-CaFe2O4,70,28,-154.431354,-38.607839,222.920000,55.730000,-57.035773,-14.258943,converged
anti-CaFe2O4,80,28,-152.027722,-38.006930,217.800000,54.450000,-43.277611,-10.819403,converged
anti-CaFe2O4,90,28,-149.523994,-37.380999,213.080000,53.270000,-29.826895,-7.456724,converged
anti-CaFe2O4,100,28,-146.975270,-36.743817,208.790000,52.197500,-16.656276,-4.164069,converged
