phase	pressure_GPa	depends_on_GPa	seed_source
I-43d	50	-	Al4C3_I-43d_50GPa
I-43d	40	50	-
I-43d	30	40	-
I-43d	20	30	-
I-43d	10	20	-
I-43d	0	10	-
I-43d	60	50	-
I-43d	70	60	-
I-43d	80	70	-
I-43d	90	80	-
I-43d	100	90	-
Pnma-III	50	-	Al4C3_Pnma-III_50GPa
Pnma-III	40	50	-
Pnma-III	30	40	-
Pnma-III	20	30	-
Pnma-III	10	20	-
Pnma-III	0	10	-
Pnma-III	60	50	-
Pnma-III	70	60	-
Pnma-III	80	70	-
Pnma-III	90	80	-
Pnma-III	100	90	-
Pnma	50	-	Al4C3_Pnma_50GPa
Pnma	40	50	-
Pnma	30	40	-
Pnma	20	30	-
Pnma	10	20	-
Pnma	0	10	-
Pnma	60	50	-
Pnma	70	60	-
Pnma	80	70	-
Pnma	90	80	-
Pnma	100	90	-
Pnma-VII	50	-	Al4C3_Pnma-VII_50GPa
Pnma-VII	40	50	-
Pnma-VII	30	40	-
Pnma-VII	20	30	-
Pnma-VII	10	20	-
Pnma-VII	0	10	-
Pnma-VII	60	50	-
Pnma-VII	70	60	-
Pnma-VII	80	70	-
Pnma-VII	90	80	-
Pnma-VII	100	90	-
R-3m	50	-	Al4C3_R-3m_50GPa
R-3m	40	50	-
R-3m	30	40	-
R-3m	20	30	-
R-3m	10	20	-
R-3m	0	10	-
R-3m	60	50	-
R-3m	70	60	-
R-3m	80	70	-
R-3m	90	80	-
R-3m	100	90	-
Pbam	50	-	Al4C3_Pbam
Pbam	40	50	-
Pbam	30	40	-
Pbam	20	30	-
Pbam	10	20	-
Pbam	0	10	-
Pbam	60	50	-
Pbam	70	60	-
Pbam	80	70	-
Pbam	90	80	-
Pbam	100	90	-
anti-CaFe2O4	50	-	Al4C3_anti-CaFe2O4
anti-CaFe2O4	40	50	-
anti-CaFe2O4	30	40	-
anti-CaFe2O4	20	30	-
anti-CaFe2O4	10	20	-
anti-CaFe2O4	0	10	-
anti-CaFe2O4	60	50	-
anti-CaFe2O4	70	60	-
anti-CaFe2O4	80	70	-
anti-CaFe2O4	90	80	-
anti-CaFe2O4	100	90	-
Fd-3m	0	-	findsym-output (user-supplied)
Fd-3m	10	0	-
Fd-3m	20	10	-
Fd-3m	30	20	-
Fd-3m	40	30	-
Fd-3m	50	40	-
Fd-3m	60	50	-
Fd-3m	70	60	-
Fd-3m	80	70	-
Fd-3m	90	80	-
Fd-3m	100	90	-
