phase	pressure_GPa	method	depends_on_step
Fd-3m	0	PBE	-
Fd-3m	0	r2SCAN	P0_PBE
Fd-3m	10	PBE	P0_r2SCAN
Fd-3m	10	r2SCAN	P10_PBE
Fd-3m	20	PBE	P10_r2SCAN
Fd-3m	20	r2SCAN	P20_PBE
Fd-3m	30	PBE	P20_r2SCAN
Fd-3m	30	r2SCAN	P30_PBE
Fd-3m	40	PBE	P30_r2SCAN
Fd-3m	40	r2SCAN	P40_PBE
Fd-3m	50	PBE	P40_r2SCAN
Fd-3m	50	r2SCAN	P50_PBE
Fd-3m	60	PBE	P50_r2SCAN
Fd-3m	60	r2SCAN	P60_PBE
Fd-3m	70	PBE	P60_r2SCAN
Fd-3m	70	r2SCAN	P70_PBE
Pnma-III	0	PBE	-
Pnma-III	0	r2SCAN	P0_PBE
Pnma-III	10	PBE	P0_r2SCAN
Pnma-III	10	r2SCAN	P10_PBE
Pnma-III	20	PBE	P10_r2SCAN
Pnma-III	20	r2SCAN	P20_PBE
Pnma-III	30	PBE	P20_r2SCAN
Pnma-III	30	r2SCAN	P30_PBE
Pnma-III	40	PBE	P30_r2SCAN
Pnma-III	40	r2SCAN	P40_PBE
Pnma-III	50	PBE	P40_r2SCAN
Pnma-III	50	r2SCAN	P50_PBE
Pnma-III	60	PBE	P50_r2SCAN
Pnma-III	60	r2SCAN	P60_PBE
Pnma-III	70	PBE	P60_r2SCAN
Pnma-III	70	r2SCAN	P70_PBE
Pnma	0	PBE	-
Pnma	0	r2SCAN	P0_PBE
Pnma	10	PBE	P0_r2SCAN
Pnma	10	r2SCAN	P10_PBE
Pnma	20	PBE	P10_r2SCAN
Pnma	20	r2SCAN	P20_PBE
Pnma	30	PBE	P20_r2SCAN
Pnma	30	r2SCAN	P30_PBE
Pnma	40	PBE	P30_r2SCAN
Pnma	40	r2SCAN	P40_PBE
Pnma	50	PBE	P40_r2SCAN
Pnma	50	r2SCAN	P50_PBE
Pnma	60	PBE	P50_r2SCAN
Pnma	60	r2SCAN	P60_PBE
Pnma	70	PBE	P60_r2SCAN
Pnma	70	r2SCAN	P70_PBE
Pnma-VII	0	PBE	-
Pnma-VII	0	r2SCAN	P0_PBE
Pnma-VII	10	PBE	P0_r2SCAN
Pnma-VII	10	r2SCAN	P10_PBE
Pnma-VII	20	PBE	P10_r2SCAN
Pnma-VII	20	r2SCAN	P20_PBE
Pnma-VII	30	PBE	P20_r2SCAN
Pnma-VII	30	r2SCAN	P30_PBE
Pnma-VII	40	PBE	P30_r2SCAN
Pnma-VII	40	r2SCAN	P40_PBE
Pnma-VII	50	PBE	P40_r2SCAN
Pnma-VII	50	r2SCAN	P50_PBE
Pnma-VII	60	PBE	P50_r2SCAN
Pnma-VII	60	r2SCAN	P60_PBE
Pnma-VII	70	PBE	P60_r2SCAN
Pnma-VII	70	r2SCAN	P70_PBE
R-3m	0	PBE	-
R-3m	0	r2SCAN	P0_PBE
R-3m	10	PBE	P0_r2SCAN
R-3m	10	r2SCAN	P10_PBE
R-3m	20	PBE	P10_r2SCAN
R-3m	20	r2SCAN	P20_PBE
R-3m	30	PBE	P20_r2SCAN
R-3m	30	r2SCAN	P30_PBE
R-3m	40	PBE	P30_r2SCAN
R-3m	40	r2SCAN	P40_PBE
R-3m	50	PBE	P40_r2SCAN
R-3m	50	r2SCAN	P50_PBE
R-3m	60	PBE	P50_r2SCAN
R-3m	60	r2SCAN	P60_PBE
R-3m	70	PBE	P60_r2SCAN
R-3m	70	r2SCAN	P70_PBE
Pbam	0	PBE	-
Pbam	0	r2SCAN	P0_PBE
Pbam	10	PBE	P0_r2SCAN
Pbam	10	r2SCAN	P10_PBE
Pbam	20	PBE	P10_r2SCAN
Pbam	20	r2SCAN	P20_PBE
Pbam	30	PBE	P20_r2SCAN
Pbam	30	r2SCAN	P30_PBE
Pbam	40	PBE	P30_r2SCAN
Pbam	40	r2SCAN	P40_PBE
Pbam	50	PBE	P40_r2SCAN
Pbam	50	r2SCAN	P50_PBE
Pbam	60	PBE	P50_r2SCAN
Pbam	60	r2SCAN	P60_PBE
Pbam	70	PBE	P60_r2SCAN
Pbam	70	r2SCAN	P70_PBE
anti-CaFe2O4	0	PBE	-
anti-CaFe2O4	0	r2SCAN	P0_PBE
anti-CaFe2O4	10	PBE	P0_r2SCAN
anti-CaFe2O4	10	r2SCAN	P10_PBE
anti-CaFe2O4	20	PBE	P10_r2SCAN
anti-CaFe2O4	20	r2SCAN	P20_PBE
anti-CaFe2O4	30	PBE	P20_r2SCAN
anti-CaFe2O4	30	r2SCAN	P30_PBE
anti-CaFe2O4	40	PBE	P30_r2SCAN
anti-CaFe2O4	40	r2SCAN	P40_PBE
anti-CaFe2O4	50	PBE	P40_r2SCAN
anti-CaFe2O4	50	r2SCAN	P50_PBE
anti-CaFe2O4	60	PBE	P50_r2SCAN
anti-CaFe2O4	60	r2SCAN	P60_PBE
anti-CaFe2O4	70	PBE	P60_r2SCAN
anti-CaFe2O4	70	r2SCAN	P70_PBE
