phase,pressure_GPa,natoms,E_total_eV,E_per_fu_eV,V_total_A3,V_per_fu_A3,H_total_eV,H_per_fu_eV,status
Fd-3m,0,56,-466.723535,-58.340442,623.300000,77.912500,-466.723535,-58.340442,converged
Fd-3m,10,56,-465.773647,-58.221706,592.000000,74.000000,-428.823898,-53.602987,converged
Fd-3m,20,56,-463.413109,-57.926639,566.920000,70.865000,-392.644541,-49.080568,converged
Fd-3m,30,56,-460.134781,-57.516848,546.010000,68.251250,-357.897248,-44.737156,converged
Fd-3m,40,56,-456.209344,-57.026168,528.110000,66.013750,-324.360039,-40.545005,converged
Fd-3m,50,56,-451.809597,-56.476200,512.500000,64.062500,-291.871016,-36.483877,converged
Fd-3m,60,56,-447.036622,-55.879578,498.660000,62.332500,-260.291581,-32.536448,converged
Fd-3m,70,56,-441.995696,-55.249462,486.270000,60.783750,-229.543382,-28.692923,converged
Fd-3m,80,56,-436.733840,-54.591730,475.050000,59.381250,-199.533187,-24.941648,converged
Fd-3m,90,56,-431.293872,-53.911734,464.810000,58.101250,-170.194200,-21.274275,converged
Fd-3m,100,56,-425.710484,-53.213811,455.400000,56.925000,-141.469737,-17.683717,converged
I-43d,0,28,-219.926195,-54.981549,272.620000,68.155000,-219.926195,-54.981549,converged
I-43d,10,28,-219.451570,-54.862892,256.620000,64.155000,-203.434914,-50.858728,converged
I-43d,20,28,-218.418899,-54.604725,245.550000,61.387500,-187.766941,-46.941735,converged
I-43d,30,28,-217.035525,-54.258881,236.690000,59.172500,-172.715690,-43.178922,converged
I-43d,40,28,-215.384282,-53.846071,229.170000,57.292500,-158.169103,-39.542276,unconverged
I-43d,50,,,,,,,,pending
I-43d,60,,,,,,,,pending
I-43d,70,,,,,,,,pending
I-43d,80,,,,,,,,pending
I-43d,90,,,,,,,,pending
I-43d,100,,,,,,,,pending
Pbam,0,,,,,,,,pending
Pbam,10,,,,,,,,pending
Pbam,20,,,,,,,,pending
Pbam,30,,,,,,,,pending
Pbam,40,,,,,,,,pending
Pbam,50,,,,,,,,pending
Pbam,60,,,,,,,,pending
Pbam,70,,,,,,,,pending
Pbam,80,,,,,,,,pending
Pbam,90,,,,,,,,pending
Pbam,100,,,,,,,,pending
Pnma,0,28,-225.885273,-56.471318,279.650000,69.912500,-225.885273,-56.471318,converged
Pnma,10,28,-225.454881,-56.363720,265.660000,66.415000,-208.873460,-52.218365,converged
