phase	pressure_GPa	seed_source (PBE, same phase/pressure)
Pnma-VII	0	hp_curves/Al4C3_Pnma-VII/P0
Pnma-VII	10	hp_curves/Al4C3_Pnma-VII/P10
Pnma-VII	20	hp_curves/Al4C3_Pnma-VII/P20
Pnma-VII	30	hp_curves/Al4C3_Pnma-VII/P30
Pnma-VII	40	hp_curves/Al4C3_Pnma-VII/P40
Pnma-VII	50	hp_curves/Al4C3_Pnma-VII/P50
Pnma-VII	60	hp_curves/Al4C3_Pnma-VII/P60
Pnma-VII	70	hp_curves/Al4C3_Pnma-VII/P70
Pnma-VII	80	hp_curves/Al4C3_Pnma-VII/P80
Pnma-VII	90	hp_curves/Al4C3_Pnma-VII/P90
Pnma-VII	100	hp_curves/Al4C3_Pnma-VII/P100
Pbam	0	hp_curves/Al4C3_Pbam/P0
Pbam	10	hp_curves/Al4C3_Pbam/P10
Pbam	20	hp_curves/Al4C3_Pbam/P20
Pbam	30	hp_curves/Al4C3_Pbam/P30
Pbam	40	hp_curves/Al4C3_Pbam/P40
Pbam	50	hp_curves/Al4C3_Pbam/P50
Pbam	60	hp_curves/Al4C3_Pbam/P60
Pbam	70	hp_curves/Al4C3_Pbam/P70
Pbam	80	hp_curves/Al4C3_Pbam/P80
Pbam	90	hp_curves/Al4C3_Pbam/P90
Pbam	100	hp_curves/Al4C3_Pbam/P100
Pnma	0	hp_curves/Al4C3_Pnma/P0
Pnma	10	hp_curves/Al4C3_Pnma/P10
Pnma	20	hp_curves/Al4C3_Pnma/P20
Pnma	30	hp_curves/Al4C3_Pnma/P30
Pnma	40	hp_curves/Al4C3_Pnma/P40
Pnma	50	hp_curves/Al4C3_Pnma/P50
Pnma	60	hp_curves/Al4C3_Pnma/P60
Pnma	70	hp_curves/Al4C3_Pnma/P70
Pnma	80	hp_curves/Al4C3_Pnma/P80
Pnma	90	hp_curves/Al4C3_Pnma/P90
Pnma	100	hp_curves/Al4C3_Pnma/P100
R-3m	0	hp_curves/Al4C3_R-3m/P0
R-3m	10	hp_curves/Al4C3_R-3m/P10
R-3m	20	hp_curves/Al4C3_R-3m/P20
R-3m	30	hp_curves/Al4C3_R-3m/P30
R-3m	40	hp_curves/Al4C3_R-3m/P40
R-3m	50	hp_curves/Al4C3_R-3m/P50
R-3m	60	hp_curves/Al4C3_R-3m/P60
R-3m	70	hp_curves/Al4C3_R-3m/P70
R-3m	80	hp_curves/Al4C3_R-3m/P80
R-3m	90	hp_curves/Al4C3_R-3m/P90
R-3m	100	hp_curves/Al4C3_R-3m/P100
Pnma-III	0	hp_curves/Al4C3_Pnma-III/P0
Pnma-III	10	hp_curves/Al4C3_Pnma-III/P10
Pnma-III	20	hp_curves/Al4C3_Pnma-III/P20
Pnma-III	30	hp_curves/Al4C3_Pnma-III/P30
Pnma-III	40	hp_curves/Al4C3_Pnma-III/P40
Pnma-III	50	hp_curves/Al4C3_Pnma-III/P50
Pnma-III	60	hp_curves/Al4C3_Pnma-III/P60
Pnma-III	70	hp_curves/Al4C3_Pnma-III/P70
Pnma-III	80	hp_curves/Al4C3_Pnma-III/P80
Pnma-III	90	hp_curves/Al4C3_Pnma-III/P90
Pnma-III	100	hp_curves/Al4C3_Pnma-III/P100
anti-CaFe2O4	0	hp_curves/Al4C3_anti-CaFe2O4/P0
anti-CaFe2O4	10	hp_curves/Al4C3_anti-CaFe2O4/P10
anti-CaFe2O4	20	hp_curves/Al4C3_anti-CaFe2O4/P20
anti-CaFe2O4	30	hp_curves/Al4C3_anti-CaFe2O4/P30
anti-CaFe2O4	40	hp_curves/Al4C3_anti-CaFe2O4/P40
anti-CaFe2O4	50	hp_curves/Al4C3_anti-CaFe2O4/P50
anti-CaFe2O4	60	hp_curves/Al4C3_anti-CaFe2O4/P60
anti-CaFe2O4	70	hp_curves/Al4C3_anti-CaFe2O4/P70
anti-CaFe2O4	80	hp_curves/Al4C3_anti-CaFe2O4/P80
anti-CaFe2O4	90	hp_curves/Al4C3_anti-CaFe2O4/P90
anti-CaFe2O4	100	hp_curves/Al4C3_anti-CaFe2O4/P100
I-43d	0	hp_curves/Al4C3_I-43d/P0
I-43d	10	hp_curves/Al4C3_I-43d/P10
I-43d	20	hp_curves/Al4C3_I-43d/P20
I-43d	30	hp_curves/Al4C3_I-43d/P30
I-43d	40	hp_curves/Al4C3_I-43d/P40
I-43d	50	hp_curves/Al4C3_I-43d/P50
I-43d	60	hp_curves/Al4C3_I-43d/P60
I-43d	70	hp_curves/Al4C3_I-43d/P70
I-43d	80	hp_curves/Al4C3_I-43d/P80
I-43d	90	hp_curves/Al4C3_I-43d/P90
I-43d	100	hp_curves/Al4C3_I-43d/P100
Fd-3m	0	hp_curves/Al4C3_Fd-3m/P0 (PBE)
Fd-3m	10	hp_curves_r2SCAN/Al4C3_Fd-3m/P0
Fd-3m	20	hp_curves_r2SCAN/Al4C3_Fd-3m/P10
Fd-3m	30	hp_curves_r2SCAN/Al4C3_Fd-3m/P20
Fd-3m	40	hp_curves_r2SCAN/Al4C3_Fd-3m/P30
Fd-3m	50	hp_curves_r2SCAN/Al4C3_Fd-3m/P40
Fd-3m	60	hp_curves_r2SCAN/Al4C3_Fd-3m/P50
Fd-3m	70	hp_curves_r2SCAN/Al4C3_Fd-3m/P60
Fd-3m	80	hp_curves_r2SCAN/Al4C3_Fd-3m/P70
Fd-3m	90	hp_curves_r2SCAN/Al4C3_Fd-3m/P80
Fd-3m	100	hp_curves_r2SCAN/Al4C3_Fd-3m/P90
